timestamp,ticker,signal,action_taken,price,notional_or_qty,account_equity,daily_pnl_pct,note
2026-07-13T10:56:46,AAPL,BUY,SKIPPED,315.32000732421875,,100000.0,0.0000,pending order already exists
2026-07-13T11:01:10,AAPL,BUY,SKIPPED,315.32,,100000.0,0.0000,pending order already exists
2026-07-14T14:35:03,AAPL,BUY,NONE,313.3,,99570.28,-0.0025,already correctly positioned
2026-07-15T14:37:01,AAPL,BUY,NONE,319.42,,99952.55,0.0029,already correctly positioned
2026-07-17T14:35:09,AAPL,BUY,NONE,333.67,,100842.02,0.0003,already correctly positioned
2026-07-20T14:35:03,AAPL,BUY,NONE,331.59,,100712.1,-0.0013,already correctly positioned
2026-07-31T14:35:03,AAPL,STOP_LOSS,SELL,302.36,62.46,98885.68,-0.0193,stop-loss hit at -5.57%
2026-08-03T14:36:07,AAPL,BUY,BUY,307.87,19783.55,98917.77,0.0000,
2026-08-05T14:37:23,AAPL,BUY,NONE,306.21,,98865.56,-0.0021,already correctly positioned
2026-08-12T14:35:04,AAPL,BUY,NONE,303.0,,98660.63,-0.0012,already correctly positioned
2026-08-13T14:35:03,AAPL,BUY,NONE,303.89,,98719.27,0.0011,already correctly positioned
2026-08-14T14:35:02,AAPL,BUY,NONE,307.41,,98943.54,0.0014,already correctly positioned
2026-08-17T14:35:03,AAPL,BUY,NONE,305.67,,98826.54,-0.0002,already correctly positioned
